Pos,2019,2018,Title,Director,Year,Country,Mins,Col,Genre,Seen
247,277,386,Pulse,"Kurosawa, Kiyoshi",2001,Japan,119,Col,Horror,
248,189,175,Summer Hours,"Assayas, Olivier",2008,France,103,Col,Drama-Family,
249,211,228,George Washington,"Green, David Gordon",2000,USA,89,Col,Drama,
250,182,167,"Artist, The","Hazanavicius, Michel",2011,France-Belgium,100,BW,Romance-Comedy-Drama,X
251,220,208,Flight of the Red Balloon,Hou Hsiao-hsien,2007,France-Taiwan,115,Col,Drama,X
252,244,217,"Florida Project, The","Baker, Sean",2017,USA,111,Col,Drama,X
253,196,198,Sexy Beast,"Glazer, Jonathan",2000,UK-Spain-USA,88,Col,Drama-Crime-Comedy,
254,---,---,Marriage Story [2019],"Baumbach, Noah",2019,USA-UK,136,Col,Comedy-Drama-Romance,X
255,192,203,"Triplets of Belleville, The","Chomet, Sylvain",2003,France-Canada-Belgium-UK,80,Col,Comedy-Animated-Adventure,
256,197,190,Kings & Queen,"Desplechin, Arnaud",2004,France,152,Col,Drama-Comedy,
257,221,199,"Five Obstructions, The","Leth, Jørgen & Lars von Trier",2003,Denmark-Belgium-Switzerland-France-Sweden-Finland-UK-Norway,90,Col-BW,Documentary,
258,399,---,"Rider, The","Zhao, Chloé",2017,USA,104,Col,Drama-Western,
259,301,313,"Quattro volte, Le","Frammartino, Michelangelo",2010,Italy-Germany-Switzerland,88,Col,Drama,
260,213,192,House of Flying Daggers,Zhang Yimou,2004,China-Hong Kong,111,Col,Action-Drama-Romance,
261,269,249,Another Year [2010],"Leigh, Mike",2010,UK,130,Col,Comedy-Drama,
262,408,464,American Psycho,"Harron, Mary",2000,USA-Canada,101,Col,Horror-Drama-Comedy,X
263,482,546,Hard to Be a God,"German, Aleksey",2013,Russia,177,BW,Drama-Science Fiction,
264,249,224,"Hours, The","Daldry, Stephen",2002,USA,114,Col,Drama,
265,226,206,Oasis,Lee Chang-dong,2002,South Korea,133,Col,Romance-Drama,
266,268,251,Paranoid Park,"Van Sant, Gus",2007,France-USA,85,Col,Drama-Crime-Mystery,
267,206,207,Master and Commander: The Far Side of the World,"Weir, Peter",2003,USA,138,Col,Drama-Adventure-Action,
268,222,213,Gerry,"Van Sant, Gus",2002,USA,102,Col,Drama,
269,225,210,"Class, The","Cantet, Laurent",2008,France,128,Col,Drama,
270,251,220,Whiplash [2014],"Chazelle, Damien",2014,USA,107,Col,Drama-Music,X
271,217,196,Munich,"Spielberg, Steven",2005,USA-Canada,160,Col,Drama-History-Thriller,
272,439,399,Twin Peaks: The Return [TV],"Lynch, David",2017,USA,1024,Col-BW,Crime-Drama-Mystery,X
273,264,280,Notre musique,"Godard, Jean-Luc",2004,France-Switzerland,80,Col,Drama,
274,262,254,Infernal Affairs,"Lau, Andrew & Alan Mak",2002,Hong Kong,100,Col,Drama-Crime-Thriller,
275,200,186,"Wrestler, The","Aronofsky, Darren",2008,USA,109,Col,Drama-Sport,
276,308,301,Shara,"Kawase, Naomi",2003,Japan,100,Col,Drama,
277,224,284,Trouble Every Day,"Denis, Claire",2001,France-Germany-Japan,101,Col,Horror-Thriller-Drama,
278,364,481,Arrival,"Villeneuve, Denis",2016,USA,116,Col,Drama-Mystery-Science Fiction,X
279,314,309,Force Majeure,"Östlund, Ruben",2014,Sweden-France-Norway-Denmark,120,Col,Drama,
280,339,283,"Touch of Sin, A",Jia Zhangke,2013,China-Japan-France,133,Col,Drama,
281,327,335,Selma,"DuVernay, Ava",2014,UK-USA,128,Col,Biography-Drama-History,
282,234,223,Millennium Mambo,Hou Hsiao-hsien,2001,Taiwan-France,119,Col,Drama-Romance,
283,267,248,Unknown Pleasures,Jia Zhangke,2002,China-Japan-South Korea-France,112,Col,Drama-Comedy,
284,254,221,Bad Education,"Almodóvar, Pedro",2004,Spain,105,Col,Thriller-Drama,
285,365,380,Bridesmaids,"Feig, Paul",2011,USA-Japan,125,Col,Comedy,X
286,377,423,"Immigrant, The [2013]","Gray, James",2013,USA,120,Col,Drama-Romance,
287,356,369,Spring Breakers,"Korine, Harmony",2012,USA,94,Col,Crime-Drama,
288,414,405,Whale Rider,"Caro, Niki",2002,New Zealand-Germany,101,Col,Drama-Family,
289,406,506,"Look of Silence, The","Oppenheimer, Joshua",2014,Denmark-Indonesia-Finland-Norway-UK-Israel-France-USA-Germany-Netherlands,103,Col,Documentary,X
290,215,194,Time Out,"Cantet, Laurent",2001,France,134,Col,Drama,
291,241,232,Ratatouille,"Bird, Brad",2007,USA,111,Col,Animated-Comedy-Family,X
292,272,276,28 Days Later,"Boyle, Danny",2002,UK,113,Col,Thriller-Science Fiction-Horror,X
293,261,274,Casino Royale [2006],"Campbell, Martin",2006,UK-USA-Czech Republic-Germany,144,Col-BW,Action-Adventure-Thriller,X
294,205,188,About Schmidt,"Payne, Alexander",2002,USA,125,Col,Drama-Comedy,
295,296,---,"Favourite, The","Lanthimos, Yorgos",2018,Ireland-UK-USA,119,Col,Biography-Comedy-Drama,X
296,271,244,Gosford Park,"Altman, Robert",2001,UK-USA-Italy,137,Col,Comedy-Mystery-Drama,
297,248,236,"Sun, The","Sokurov, Aleksandr",2005,Russia-Italy-France-Switzerland,115,Col,Drama-History,
298,444,---,Shoplifters,"Koreeda, Hirokazu",2018,Japan,121,Col,Crime-Drama,
299,280,255,"Police, Adjective","Porumboiu, Corneliu",2009,Romania,115,Col,Comedy-Crime-Drama,
300,252,261,Wallace & Gromit: The Curse of the Were-Rabbit,"Park, Nick & Steve Box",2005,UK-USA,85,Col,Animated-Adventure-Comedy,
301,274,263,"You, the Living","Andersson, Roy",2007,Sweden-Germany-France-Denmark-Norway-Japan,93,Col,Comedy-Drama,
302,273,306,"Devil's Backbone, The","del Toro, Guillermo",2001,Spain-Mexico,107,Col,Horror-Drama,
303,368,354,Ex Machina,"Garland, Alex",2015,UK,108,Col,Drama-Science Fiction-Mystery,X
304,260,267,Antichrist,"von Trier, Lars",2009,Denmark-Germany-France-Sweden-Italy-Poland,108,Col-BW,Drama-Horror,
305,315,298,Eastern Promises,"Cronenberg, David",2007,USA-UK-Canada,101,Col,Crime-Drama-Thriller,
306,371,483,Personal Shopper,"Assayas, Olivier",2016,France-Germany-Czech Republic,105,Col,Drama-Mystery-Thriller,
307,235,218,"Good Night, and Good Luck","Clooney, George",2005,USA-France-UK-Japan,93,BW,Drama-History,X
308,513,450,American Honey,"Arnold, Andrea",2016,UK-USA,163,Col,Drama,
309,490,548,Stray Dogs,Tsai Ming-liang,2013,Taiwan-France,138,Col,Drama,
310,660,---,Happy as Lazzaro,"Rohrwacher, Alice",2018,Italy-Switzerland-France-Germany,125,Col,Drama,
311,593,515,"Norte, the End of History","Diaz, Lav",2013,Philippines,250,Col,Drama-Crime,
312,598,666,"Strange Case of Angelica, The","Oliveira, Manoel de",2010,Portugal-Spain-France-Brazil,97,Col-BW,Drama,
313,306,292,Femme Fatale,"De Palma, Brian",2002,France-Switzerland,110,Col,Thriller-Crime,
314,322,312,Blue Valentine,"Cianfrance, Derek",2010,USA,112,Col,Drama-Romance,
315,309,377,Winter Sleep,"Ceylan, Nuri Bilge",2014,Turkey-Germany-France,196,Col,Drama,
316,332,296,Anomalisa,"Johnson, Duke & Charlie Kaufman",2015,USA,90,Col,Animated-Comedy-Drama,
317,246,214,Crimson Gold,"Panahi, Jafar",2003,Iran,96,Col,Drama,
318,276,264,Fahrenheit 9/11,"Moore, Michael",2004,USA,122,Col,Documentary-War,
319,242,230,21 Grams,"González Iñárritu, Alejandro",2003,Germany-USA,125,Col,Drama,
320,320,299,Spotlight,"McCarthy, Tom",2015,USA-Canada,128,Col,Biography-Drama-History,X
321,253,235,Traffic [2000],"Soderbergh, Steven",2000,USA-Germany,147,Col,Drama-Crime-Thriller,
322,295,273,Happy-Go-Lucky,"Leigh, Mike",2008,UK-USA,118,Col,Comedy-Drama,
323,270,257,24 Hour Party People,"Winterbottom, Michael",2002,UK,115,Col,Drama-Comedy,
324,532,508,Phoenix,"Petzold, Christian",2014,Germany-Poland,98,Col,Drama,
325,292,324,District 9,"Blomkamp, Neill",2009,South Africa-USA-New Zealand-Canada,112,Col,Action-Drama-Science Fiction,X
326,345,326,"Beaches of Agnès, The","Varda, Agnès",2008,France,110,Col,Documentary-Biography,
327,256,246,Old Joy,"Reichardt, Kelly",2006,USA,76,Col,Drama,X
328,302,338,"Descent, The","Marshall, Neil",2005,UK,99,Col,Horror-Adventure-Thriller,
329,517,620,"Lobster, The","Lanthimos, Yorgos",2015,Ireland-UK-Greece-France-Netherlands-USA,118,Col,Comedy-Drama-Romance,X
330,257,278,Minority Report,"Spielberg, Steven",2002,USA,144,Col,Thriller-Science Fiction-Action,X
331,355,362,Bright Star,"Campion, Jane",2009,UK-Australia-France,119,Col,Biography-Drama-Romance,
332,423,410,"Clock, The [ART INSTALLATION]","Marclay, Christian",2010,UK,1440,Col,Documentary-Avant-Garde,
333,381,374,Wild Grass,"Resnais, Alain",2009,France-Italy,104,Col,Drama-Romance,
334,243,215,In the Bedroom,"Field, Todd",2001,USA,130,Col,Drama,
335,---,---,Uncut Gems,"Safdie, Benny & Josh Safdie",2019,USA,135,Col,Comedy-Crime-Drama,X
336,245,234,Match Point,"Allen, Woody",2005,UK-USA-Luxembourg,124,Col,Crime-Drama-Thriller,
337,387,418,"Skin I Live In, The","Almodóvar, Pedro",2011,Spain-USA,120,Col,Drama-Thriller,
338,298,340,Primer,"Carruth, Shane",2004,USA,78,Col,Thriller-Science Fiction-Drama,
339,464,672,Neighbouring Sounds,"Filho, Kleber Mendonça",2012,Brazil,131,Col,Drama-Thriller,
340,283,288,"O Brother, Where Art Thou?","Coen, Joel & Ethan Coen",2000,USA-France,107,Col,Crime-Adventure-Comedy,X
341,324,304,Monsoon Wedding,"Nair, Mira",2001,India-USA-Italy-Germany-France,114,Col,Romance-Drama,
342,319,310,Enter the Void,"Noé, Gaspar",2009,France-Germany-Italy--Canada,161,Col,Drama-Fantasy,
343,459,645,Raw,"Ducournau, Julia",2016,France-Belgium,99,Col,Horror,
344,386,424,O.J.: Made in America [TV],"Edelman, Ezra",2016,USA,450,Col,Documentary,
345,266,233,Gangs of New York,"Scorsese, Martin",2002,USA,166,Col,Drama-Crime-Action,X
346,326,287,Devils on the Doorstep,Jiang Wen,2000,China,139,Col-BW,War-Drama-Comedy,
347,299,279,Lincoln,"Spielberg, Steven",2012,USA,150,Col,Biography-Drama-History,X
348,372,441,Gone Girl,"Fincher, David",2014,USA,149,Col,Drama-Mystery-Thriller,X
349,297,271,"Best of Youth, The","Giordana, Marco Tullio",2003,Italy,373,Col,Drama-History-Romance,
350,303,275,Darwin's Nightmare,"Sauper, Hubert",2004,Austria-Belgium-France-Germany,111,Col,Documentary,
351,---,---,Pain and Glory,"Almodóvar, Pedro",2019,Spain,113,Col,Drama,
352,300,300,Bamako,"Sissako, Abderrahmane",2006,Mali-USA-France,117,Col,Drama,
353,369,370,"Shape of Water, The","del Toro, Guillermo",2017,USA,123,Col-BW,Adventure-Drama-Fantasy,X
354,263,237,"Aviator, The","Scorsese, Martin",2004,USA-Germany,170,Col-BW,Drama-Biography,X
355,347,349,Team America: World Police,"Parker, Trey",2004,USA-Germany,108,Col,Comedy-Adventure-Action,
356,290,379,Death Proof,"Tarantino, Quentin",2007,USA,104,Col-BW,Crime,
357,321,330,Tinker Tailor Soldier Spy,"Alfredson, Tomas",2011,France-UK-Germany,127,Col,Thriller-Drama-Mystery,X
358,373,381,"Two Days, One Night","Dardenne, Jean-Pierre & Luc Dardenne",2014,Belgium-France-Italy,95,Col,Drama,
359,325,295,"Ghost Writer, The","Polanski, Roman",2010,France-Germany-UK,128,Col,Drama-Mystery-Thriller,X
360,307,351,Hell or High Water,"Mackenzie, David",2016,USA,102,Col,Crime-Drama,X
361,304,303,Django Unchained,"Tarantino, Quentin",2012,USA,165,Col,Action-Drama-Western,X
362,336,372,"Kid with a Bike, The","Dardenne, Jean-Pierre & Luc Dardenne",2011,Belgium-France-Italy,87,Col,Drama,
363,343,323,Mother [2009],Bong Joon-ho,2009,South Korea,129,Col,Crime-Drama-Mystery,
364,384,305,Beyond the Hills,"Mungiu, Cristian",2012,Romania-France-Belgium,150,Col,Drama,
365,317,285,Last Days,"Van Sant, Gus",2005,USA,96,Col,Drama,
366,285,256,Vera Drake,"Leigh, Mike",2004,UK-France,125,Col,Drama,
367,445,469,"Duke of Burgundy, The","Strickland, Peter",2014,UK,104,Col,Drama,
368,394,448,Kill List,"Wheatley, Ben",2011,UK,95,Col,Crime-Horror-Thriller,
369,287,559,"Brown Bunny, The","Gallo, Vincent",2003,USA-Japan-France,93,Col,Drama-Adult,
370,310,426,I Am Not Your Negro,"Peck, Raoul",2016,USA-Switzerland-France-Belgium,93,Col,Documentary,
371,278,282,School of Rock,"Linklater, Richard",2003,USA-Germany,108,Col,Musical-Comedy,X
372,311,266,"Lust, Caution","Lee, Ang",2007,USA-China-Taiwan,158,Col,Drama-Romance-Thriller,
373,726,---,Let the Sunshine In,"Denis, Claire",2017,France-Belgium,94,Col,Comedy-Drama-Romance,
374,294,289,Black Book,"Verhoeven, Paul",2006,Netherlands,145,Col,War-Thriller-Drama,
375,478,500,Like Someone in Love,"Kiarostami, Abbas",2012,France-Japan,109,Col,Drama,
376,554,572,Silence,"Scorsese, Martin",2016,USA-Mexico-Taiwan,161,Col,Drama-History-Adventure,X
377,328,294,Spider,"Cronenberg, David",2002,Canada-UK-Japan-France,98,Col,Thriller-Drama,
378,385,---,Leave No Trace,"Granik, Debra",2018,USA,109,Col,Drama,
379,275,259,Evolution of a Filipino Family,"Diaz, Lav",2004,Philippines,540,BW,Drama,
380,305,286,Nobody Knows,"Koreeda, Hirokazu",2004,Japan,141,Col,Drama,
381,375,391,Vai-E-Vem,"Monteiro, João César",2003,Portugal-France,179,Col-BW,Comedy-Drama,
382,338,342,Brooklyn,"Crowley, John",2015,Ireland-UK-Canada,111,Col,Drama-Romance,
383,337,333,Gran Torino,"Eastwood, Clint",2008,USA-Germany,116,Col,Crime-Drama-Thriller,X
384,400,442,"Deep Blue Sea, The","Davies, Terence",2011,USA-UK,98,Col,Drama-Romance,
385,358,336,Erin Brockovich,"Soderbergh, Steven",2000,USA,130,Col,Drama,
386,288,272,Shrek,"Adamson, Andrew & Vicky Jenson",2001,USA,90,Col,Animated-Fantasy-Comedy,X
387,312,277,"King's Speech, The","Hooper, Tom",2010,UK-Australia-USA,118,Col,Drama-History,X
388,331,308,Eureka [2000],"Aoyama, Shinji",2000,Japan-France,217,Col-BW,Drama,
389,456,434,"Ghost Story, A","Lowery, David",2017,USA,92,Col,Drama-Fantasy-Romance,X
390,500,502,45 Years,"Haigh, Andrew",2015,UK,95,Col,Drama-Romance,
391,360,388,Anchorman: The Legend of Ron Burgundy,"McKay, Adam",2004,USA,94,Col,Comedy,X
392,362,321,Lagaan: Once Upon a Time in India,"Gowariker, Ashutosh",2001,India,224,Col,Adventure-Drama-Musical,
393,323,332,"40-Year-Old Virgin, The","Apatow, Judd",2005,USA,116,Col,Romance-Comedy,X
394,334,290,"Descendants, The","Payne, Alexander",2011,USA,115,Col,Comedy-Drama,
395,421,435,Marie Antoinette [2006],"Coppola, Sofia",2006,USA-France-Japan,123,Col,Biography-Drama,
396,333,322,Bus 174,"Larceda, Felipe & José Padilha",2002,Brazil,119,Col,Documentary,
397,286,347,Wonder Boys,"Hanson, Curtis",2000,USA-Germany-UK-Japan,112,Col,Drama-Comedy,
398,350,319,Once,"Carney, John",2007,Ireland-USA,87,Col,Drama-Musical-Romance,
399,357,325,Downfall,"Hirschbiegel, Oliver",2004,Germany-Austria-Italy,156,Col,War-Drama,
400,571,589,Girlhood,"Sciamma, Céline",2014,France,113,Col,Drama,
401,291,317,In the Loop,"Iannucci, Armando",2009,UK-Cayman Islands,106,Col,Comedy,
402,919,829,"Right Now, Wrong Then",Hong Sang-soo,2015,South Korea,121,Col,Drama,
403,458,561,"Witch, The [2015]","Eggers, Robert",2015,USA-UK-Canada-Brazil,92,Col,Horror-Mystery,X
404,348,---,Cold War [2018],"Pawlikowski, Pawel",2018,Poland-UK-France,88,BW,Drama-Music-Romance,
405,361,375,"Bourne Ultimatum, The","Greengrass, Paul",2007,USA-Germany,115,Col,Action-Thriller-Mystery,X
406,318,291,"Three Burials of Melquiades Estrada, The","Jones, Tommy Lee",2005,France-USA,121,Col,Drama-Crime-Western,
407,330,344,Battle Royale,"Fukasaku, Kinji",2000,Japan,113,Col,Thriller-Action-Horror,X
408,346,315,Waiting for Happiness,"Sissako, Abderrahmane",2002,France-Mauritania,90,Col,Drama,
409,383,316,Take Shelter,"Nichols, Jeff",2011,USA,120,Col,Drama-Thriller,
410,422,415,Howl's Moving Castle,"Miyazaki, Hayao",2004,Japan,119,Col,Animated-Adventure-Fantasy,X
411,453,394,"Heart of the World, The","Maddin, Guy",2000,Canada,6,BW,Short,
412,572,557,"Wind Rises, The","Miyazaki, Hayao",2013,Japan,126,Col,Animated-Biography-Drama,
413,---,---,High Life,"Denis, Claire",2018,UK-France-Germany-Poland-USA,113,Col,Science Fiction-Drama-Mystery,
414,329,293,Battle in Heaven,"Reygadas, Carlos",2005,Mexico-France-Germany-Belgium-Netherlands,97,Col,Drama,
415,391,537,Western,"Grisebach, Valeska",2017,Germany-Bulgaria-Austria,121,Col,Drama,
416,---,---,Spider-Man: Into the Spider-Verse,"Persichetti, Bob/Peter Ramsey/Rodney Rothman",2018,USA,117,Col,Animated-Action-Adventure,
417,398,356,Star Spangled to Death,"Jacobs, Ken",2004,USA,402,Col-BW,Avant-Garde,
418,335,297,Little Miss Sunshine,"Dayton, Jonathan & Valerie Faris",2006,USA,102,Col,Comedy-Drama,X
419,340,307,Spellbound [2002],"Blitz, Jeffrey",2002,USA,96,Col,Documentary,
420,577,654,It's Such a Beautiful Day,"Hertzfeldt, Don",2012,USA,62,Col,Animated-Comedy-Drama,
421,359,358,Offside,"Panahi, Jafar",2006,Iran,91,Col,Comedy-Drama-Sport,
422,436,420,Vincere,"Bellocchio, Marco",2009,Italy-France,125,Col,Biography-Drama-History,
423,342,433,"Son's Room, The","Moretti, Nanni",2001,Italy-France,99,Col,Drama,
424,344,334,True Grit [2010],"Coen, Joel & Ethan Coen",2010,USA,110,Col,Adventure-Drama-Western,X
425,313,281,Capote,"Miller, Bennett",2005,USA-Canada,98,Col,Drama-Biography,X
426,363,329,Divine Intervention,"Suleiman, Elia",2002,France-Morocco-Germany-Palestine,93,Col,Drama-Romance-War,
427,543,510,Clouds of Sils Maria,"Assayas, Olivier",2014,France-Germany-Switzerland,124,Col,Drama,
428,448,432,"Day I Became a Woman, The","Makhmalbaf, Marzieh",2000,Iran,77,Col,Drama,
429,510,571,Scott Pilgrim vs. the World,"Wright, Edgar",2010,USA-UK-Japan,112,Col,Action-Adventure-Comedy,
430,454,398,Of Gods and Men,"Beauvois, Xavier",2010,France,122,Col,Drama-History,
431,541,454,"Quiet Passion, A","Davies, Terence",2016,UK-Belgium,125,Col,Biography-Drama,
432,411,429,Citizenfour,"Poitras, Laura",2014,USA-Germany-UK,114,Col,Documentary,X
433,428,376,Shame [2011],"McQueen, Steve",2011,UK,101,Col,Drama,
434,402,495,Attack the Block,"Cornish, Joe",2011,UK-France,88,Col,Action-Comedy-Science Fiction,
435,349,341,Coraline,"Selick, Henry",2009,USA,101,Col,Animated-Adventure-Fantasy,
436,433,416,"Captive, La","Akerman, Chantal",2000,France-Belgium,118,Col,Drama,
437,409,437,Playing,"Coutinho, Eduardo",2007,Brazil,100,Col,Documentary-Drama,
438,405,389,Paradise Now,"Abu-Assad, Hany",2005,Netherlands-Israel-Germany-France,91,Col,Drama-Crime,
439,392,368,Of Time and the City,"Davies, Terence",2008,UK,72,Col-BW,Documentary,
440,636,---,Hereditary,"Aster, Ari",2018,USA,127,Col,Drama-Horror-Mystery,X
441,462,---,If Beale Street Could Talk,"Jenkins, Barry",2018,USA,119,Col,Drama-Romance-Crime,X
442,581,621,Mommy,"Dolan, Xavier",2014,Canada,139,Col,Drama,
443,557,509,Modern Life,"Depardon, Raymond",2008,France,87,Col,Documentary,
444,558,529,Pina,"Wenders, Wim",2011,Germany-France-UK,103,Col,Documentary,
445,---,---,Atlantics,"Diop, Mati",2019,France-Senegal-Belgium,106,Col,Drama,
446,341,311,Milk,"Van Sant, Gus",2008,USA,128,Col,Biography-Drama,
447,382,378,Gomorrah,"Garrone, Matteo",2008,Italy,137,Col,Crime-Drama,X
448,871,---,Paddington 2,"King, Paul",2017,UK-France-USA,103,Col,Animated-Adventure-Comedy,
449,---,---,Transit,"Petzold, Christian",2018,Germany-France,101,Col,Drama,
450,354,320,Half Nelson,"Fleck, Ryan",2006,USA,107,Col,Drama,
451,376,352,Napoleon Dynamite,"Hess, Jared",2004,USA,82,Col,Comedy,X
452,374,359,Solaris [2002],"Soderbergh, Steven",2002,USA,99,Col,Science Fiction-Drama-Romance,
453,380,360,Martha Marcy May Marlene,"Durkin, Sean",2011,USA,102,Col,Drama-Thriller,
454,390,363,I Am Love,"Guadagnino, Luca",2009,Italy,119,Col,Drama,
455,468,403,Demonlover,"Assayas, Olivier",2002,France-Japan-Mexico-USA,129,Col,Thriller-Drama-Mystery,
456,378,314,Tarnation,"Caouette, Jonathan",2003,USA,88,Col-BW,Documentary,
457,370,364,Collateral,"Mann, Michael",2004,USA,120,Col,Thriller-Crime-Action,
458,867,764,Dawson City: Frozen Time,"Morrison, Bill",2016,USA,120,Col-BW,Documentary-History,
459,474,421,I Don't Want to Sleep Alone,Tsai Ming-liang,2006,Taiwan-France-Austria,118,Col,Drama,
460,410,414,"Libertad, La","Alonso, Lisandro",2001,Argentina,73,Col,Drama,
461,---,---,"Flor, La","Llinás, Mariano",2018,Argentina,808,Col-BW,Drama-Thriller,
462,379,327,Inside Job,"Ferguson, Charles",2010,USA,109,Col,Documentary,
463,389,353,Black Hawk Down,"Scott, Ridley",2001,USA,144,Col,War-Drama-Action,
464,351,337,Chicken Run,"Lord, Peter & Nick Park",2000,USA-UK,84,Col,Animated-Family-Comedy,X
465,774,---,Black Panther,"Coogler, Ryan",2018,USA-South Africa-South Korea-Australia,134,Col,Action-Adventure-Science Fiction,X
466,738,746,Li'l Quinquin [TV],"Dumont, Bruno",2014,France,206,Col,Comedy-Crime-Mystery,
467,443,468,"Lego Movie, The","Lord, Phil & Christopher Miller",2014,Australia-USA-Denmark,100,Col,Animated-Adventure-Comedy,
468,435,345,"Love, Actually","Curtis, Richard",2003,UK-USA,135,Col,Romance-Drama-Comedy,X
469,539,550,Good Time,"Safdie, Benny & Josh Safdie",2017,USA,101,Col,Crime-Drama-Thriller,X
470,467,402,Red Road,"Arnold, Andrea",2006,UK-Denmark,114,Col,Drama-Thriller,
471,529,551,Creed,"Coogler, Ryan",2015,USA,133,Col,Drama-Sport,X
472,499,461,Woman on the Beach,Hong Sang-soo,2006,South Korea,100,Col,Drama-Comedy,
473,666,585,"Last of the Unjust, The","Lanzmann, Claude",2013,France-Austria,220,Col-BW,Documentary,
474,396,350,Juno,"Reitman, Jason",2007,USA,96,Col,Comedy-Drama,X
475,743,667,Interstellar,"Nolan, Christopher",2014,USA-UK,169,Col,Adventure-Science Fiction-Drama,X
476,481,470,Away from Her,"Polley, Sarah",2006,Canada-UK-USA,109,Col,Drama-Romance,
477,397,366,"Beat That My Heart Skipped, The","Audiard, Jacques",2005,France,107,Col,Drama-Crime,
478,612,556,Santiago,"Salles, João Moreira",2007,Brazil,80,BW,Documentary,
479,552,684,Everyone Else,"Ade, Maren",2009,Germany,119,Col,Drama-Romance,
480,429,413,Elf,"Favreau, Jon",2003,USA,97,Col,Comedy-Family-Fantasy,X
481,465,446,Hedwig and the Angry Inch,"Mitchell, John Cameron",2001,USA,91,Col,Musical-Drama-Comedy,
482,657,652,You Ain't Seen Nothin' Yet,"Resnais, Alain",2012,France-Germany,115,Col,Drama-Comedy,
483,426,436,Mr. Turner,"Leigh, Mike",2014,UK-France-Germany,150,Col,Biography-Drama-History,
484,---,---,"Farewell, The","Wang, Lulu",2019,USA-China,100,Col,Comedy-Drama,X
485,441,440,Extraordinary Stories,"Llinás, Mariano",2008,Argentina,245,Col,Drama-Mystery,
486,403,476,Superbad,"Mottola, Greg",2007,USA,113,Col,Comedy,X
487,501,496,"Taste of Others, The","Jaoui, Agnès",2000,France,112,Col,Drama-Comedy,
488,418,373,Flags of Our Fathers,"Eastwood, Clint",2006,USA,132,Col,War-Drama-Action,
489,401,355,"Prairie Home Companion, A","Altman, Robert",2006,USA,106,Col,Comedy-Drama-Musical,
490,395,361,Before Night Falls,"Schnabel, Julian",2000,USA,133,Col,Drama,
491,638,714,Attenberg,"Tsangari, Athina Rachel",2010,Greece,97,Col,Drama,
492,404,365,Anvil!: The Story of Anvil,"Gervasi, Sacha",2008,USA,80,Col,Documentary-Biography-Musical,
493,498,532,Nebraska,"Payne, Alexander",2013,USA,115,BW,Drama,X
494,412,498,"Orphanage, The","Bayona, Juan Antonio",2007,Spain-France,100,Col,Drama-Horror-Mystery,
495,425,427,"Man Who Wasn't There, The","Coen, Joel & Ethan Coen",2001,USA-UK,116,BW,Drama-Crime-Comedy,
496,455,465,"Others, The","Amenábar, Alejandro",2001,Spain-USA,100,Col,Thriller-Horror,X
