Pos,2019,2018,Title,Director,Year,Country,Mins,Col,Genre,Seen
497,463,422,Zoolander,"Stiller, Ben",2001,USA-Germany-Australia,89,Col,Comedy,X
498,518,489,Cave of Forgotten Dreams,"Herzog, Werner",2010,Canada-USA-France-UK,90,Col,Documentary-History,X
499,434,383,"Life Aquatic with Steve Zissou, The","Anderson, Wes",2004,USA,118,Col,Drama-Comedy-Adventure,X
500,491,480,"Morte rouge, La","Erice, Victor",2006,Spain,32,Col-BW,Short-Drama,
501,546,---,Sorry to Bother You,"Riley, Boots",2018,USA,111,Col,Comedy-Fantasy-Science Fiction,
502,424,397,13 Lakes,"Benning, James",2004,USA,135,Col,Documentary,
503,511,555,Incendies,"Villeneuve, Denis",2010,Canada-France,130,Col,Drama-Mystery-War,
504,515,520,When the Levees Broke: A Requiem in Four Acts [TV],"Lee, Spike",2006,USA,255,Col,Documentary,
505,446,---,BlacKkKlansman,"Lee, Spike",2018,USA,135,Col-BW,Biography-Drama-Crime,X
506,407,357,I'm Going Home,"Oliveira, Manoel de",2001,France-Portugal,90,Col,Drama-Comedy,
507,661,907,BPM (Beats Per Minute),"Campillo, Robin",2017,France,140,Col,Drama,
508,420,409,Lilya 4-ever,"Moodysson, Lukas",2002,Sweden-Denmark,109,Col,Drama,
509,573,686,Martyrs,"Laugier, Pascal",2008,France-Canada,100,Col,Drama-Horror,
510,413,411,"Barbarian Invasions, The","Arcand, Denys",2003,Canada-France,99,Col,Drama-Comedy,
511,449,443,"Duchess of Langeais, The","Rivette, Jacques",2007,France-Italy,137,Col,Drama-Romance,
512,438,452,Spider-Man 2,"Raimi, Sam",2004,USA,127,Col,Action-Fantasy-Science Fiction,X
513,568,504,"Autobiography of Nicolae Ceausescu, The","Ujica, Andrei",2010,Romania,180,Col-BW,Documentary-Biography-History,
514,472,458,"Monsters, Inc.","Docter, Pete",2001,USA,95,Col,Animated-Family-Comedy,X
515,416,467,In Bruges,"McDonagh, Martin",2008,USA-UK-Germany,107,Col,Comedy-Crime,X
516,530,488,"Wayward Cloud, The",Tsai Ming-liang,2005,France-Taiwan-China,112,Col,Musical-Comedy-Drama,
517,419,382,Babel,"González Iñárritu, Alejandro",2006,France-USA-Mexico,143,Col,Drama,
518,525,472,"Muertos, Los","Alonso, Lisandro",2004,Argentina-France-Netherlands-Switzerland,78,Col,Drama,
519,460,407,Nightcrawler,"Gilroy, Dan",2014,USA,117,Col,Crime-Drama-Thriller,X
520,431,473,High Fidelity,"Frears, Stephen",2000,USA-UK,113,Col,Comedy,X
521,477,404,"Motorcycle Diaries, The","Salles, Walter",2004,UK-USA-France,125,Col,Drama-Adventure,X
522,476,523,Snowpiercer,Bong Joon-ho,2013,South Korea-Czech Republic-USA-France,126,Col-BW,Action-Science Fiction-Thriller,
523,393,348,Crash [2004],"Haggis, Paul",2004,USA-Germany,112,Col,Drama-Crime,X
524,---,902,Sieranevada,"Puiu, Cristi",2016,Romania-France-Bosnia and Herzegovina-Croatia-Macedonia,173,Col,Comedy-Drama,
525,597,616,Oxhide,Liu Jiayin,2005,China,110,Col,Docudrama,
526,771,719,"Tribe, The","Slaboshpytskiy, Myroslav",2014,Ukraine-Netherlands,126,Col,Crime-Drama,
527,430,392,Still Walking,"Koreeda, Hirokazu",2008,Japan,115,Col,Drama,
528,516,456,Dirty Pretty Things,"Frears, Stephen",2002,USA-UK,97,Col,Thriller-Drama,
529,534,499,Unbreakable,"Shyamalan, M. Night",2000,USA,106,Col,Thriller-Science Fiction-Drama,
530,479,586,Hot Fuzz,"Wright, Edgar",2007,USA-UK-France,121,Col,Action-Comedy-Crime,X
531,492,453,Me and You and Everyone We Know,"July, Miranda",2005,USA-UK-Japan,91,Col,Drama-Comedy,
532,814,---,"Image Book, The","Godard, Jean-Luc",2018,Switzerland-France,84,Col,Drama,
533,594,541,"Station Agent, The","McCarthy, Tom",2003,USA,88,Col,Drama-Comedy,
534,761,697,Jauja,"Alonso, Lisandro",2014,Argentina-Denmark-France-Mexico-USA-Germany-Brazil-Netherlands,109,Col,Drama-Western,
535,470,447,Mysterious Skin,"Araki, Gregg",2004,USA-Netherlands,105,Col,Drama,
536,497,613,Paprika,"Kon, Satoshi",2006,Japan,90,Col,Animated-Mystery-Science Fiction,
537,509,444,Before I Forget,"Nolot, Jacques",2007,France,108,Col,Drama,
538,451,460,Mean Girls,"Waters, Mark",2004,USA-Canada,97,Col,Comedy,X
539,486,484,Profit Motive and the Whispering Wind,"Gianvito, John",2007,USA,58,Col,Documentary,
540,524,478,Birth,"Glazer, Jonathan",2004,Germany-UK-USA,100,Col,Mystery-Drama,
541,538,501,Foxcatcher,"Miller, Bennett",2014,USA,134,Col,Biography-Drama-Sport,X
542,473,505,Step Brothers,"McKay, Adam",2008,USA,98,Col,Comedy,X
543,442,445,Cosmopolis,"Cronenberg, David",2012,Canada-France-Portugal-Italy,109,Col,Drama-Thriller,
544,985,933,"Lost City of Z, The","Gray, James",2016,USA,141,Col,Drama-Adventure-Biography,X
545,678,570,"Dangerous Method, A","Cronenberg, David",2011,UK-Germany-Canada-Switzerland,99,Col,Biography-Drama-Thriller,
546,569,579,Senna,"Kapadia, Asif",2010,UK-France-USA,106,Col,Documentary-Biography-Sport,
547,601,680,Animal Kingdom,"Michôd, David",2010,Australia,113,Col,Crime-Drama,
548,685,611,"Construcción, En","Guerín, José Luis",2001,Spain,125,Col,Documentary,
549,625,730,Tomboy,"Sciamma, Céline",2011,France,82,Col,Drama,
550,712,901,Eden [2014],"Hansen-Løve, Mia",2014,France,131,Col,Drama-Music,
551,536,581,Computer Chess,"Bujalski, Andrew",2013,USA,92,Col-BW,Comedy,
552,549,720,Pariah,"Rees, Dee",2011,USA,86,Col,Drama,
553,427,384,In America,"Sheridan, Jim",2003,USA-Ireland-UK,105,Col,Drama,
554,437,390,Climates,"Ceylan, Nuri Bilge",2006,Turkey-France-Netherlands,102,Col,Drama,
555,483,449,City of Life and Death,Lu Chuan,2009,China-Hong Kong,135,BW,Drama-History-War,
556,588,595,Private Fears in Public Places,"Resnais, Alain",2006,France-Italy,120,Col,Drama,
557,628,735,"Oslo, August 31st","Trier, Joachim",2011,Norway,95,Col,Drama,
558,417,387,Silver Linings Playbook,"Russell, David O.",2012,USA,122,Col,Comedy-Drama-Romance,X
559,692,634,Blade Runner 2049,"Villeneuve, Denis",2017,USA-UK-Hungary-Canada,164,Col,Drama-Mystery-Science Fiction,X
560,556,591,"Illusionist, The [2010]","Chomet, Sylvain",2010,UK-France,80,Col,Animated-Comedy-Drama,
561,847,779,"Hunt, The","Vinterberg, Thomas",2012,Denmark-Sweden,115,Col,Drama,
562,475,511,Moon,"Jones, Duncan",2009,UK,97,Col,Drama-Mystery-Science Fiction,X
563,586,587,RR,"Benning, James",2007,USA-Germany,111,Col,Documentary,
564,502,528,Best in Show,"Guest, Christopher",2000,USA,89,Col,Comedy,X
565,688,610,"Missing Picture, The","Panh, Rithy",2013,Cambodia-France,92,Col-BW,Documentary,
566,469,487,Brick,"Johnson, Rian",2005,USA,110,Col,Crime-Mystery-Drama,
567,790,831,Ex Libris: The New York Public Library,"Wiseman, Frederick",2017,USA,197,Col,Documentary,
568,523,463,Our Daily Bread [2005],"Geyrhalter, Nikolaus",2005,Austria-Germany,92,Col,Documentary,
569,432,485,"Three Billboards Outside Ebbing, Missouri","McDonagh, Martin",2017,USA-UK,115,Col,Crime-Drama,X
570,450,393,Lumumba,"Peck, Raoul",2000,France-Belgium-Germany-Haiti,115,Col,Drama-Biography-History,
571,651,618,Bend it Like Beckham,"Chadha, Gurinder",2002,UK-Germany-USA,112,Col,Comedy-Drama-Romance,
572,440,400,Rabbit-Proof Fence,"Noyce, Phillip",2002,Australia-UK,93,Col,Drama-Adventure,
573,457,516,3-Iron,Kim Ki-duk,2004,South Korea-Japan,88,Col,Crime-Drama-Romance,
574,447,408,Atonement,"Wright, Joe",2007,USA-UK-France,123,Col,Drama-Romance-War,
575,545,492,Friday Night,"Denis, Claire",2002,France,89,Col,Drama,
576,508,490,Knocked Up,"Apatow, Judd",2007,USA,129,Col,Comedy-Romance,X
577,452,401,Rachel Getting Married,"Demme, Jonathan",2008,USA,113,Col,Drama-Romance,
578,466,406,Moneyball,"Miller, Bennett",2011,USA,133,Col,Biography-Drama-Sport,X
579,562,535,"Darjeeling Limited, The","Anderson, Wes",2007,USA,91,Col,Adventure-Comedy-Drama,X
580,616,---,Eighth Grade,"Burnham, Bo",2018,USA,93,Col,Comedy-Drama,
581,766,728,Post Tenebras Lux,"Reygadas, Carlos",2012,Mexico-France-Netherlands-Germany,115,Col,Drama,
582,764,705,At Berkeley,"Wiseman, Frederick",2013,USA,244,Col,Documentary,
583,480,477,"Fountain, The","Aronofsky, Darren",2006,USA,97,Col,Drama-Romance-Science Fiction,
584,648,578,Che,"Soderbergh, Steven",2008,France-Spain-USA,257,Col-BW,Biography-Drama-History,
585,489,479,24 City,Jia Zhangke,2008,China-Hong Kong-Japan,112,Col,Drama,
586,605,606,Skyfall,"Mendes, Sam",2012,UK-USA,143,Col,Action-Adventure-Crime,X
587,494,430,"Time for Drunken Horses, A","Ghobadi, Bahman",2000,Iran,80,Col,Drama,
588,485,419,Billy Elliot,"Daldry, Stephen",2000,UK,110,Col,Drama,
589,496,431,"Inconvenient Truth, An","Guggenheim, Davis",2006,USA,97,Col,Documentary,X
590,701,962,"Raid: Redemption, The","Evans, Gareth",2011,Indonesia-USA-France,101,Col,Action-Crime-Thriller,
591,777,808,"Avengers, The","Whedon, Joss",2012,USA,143,Col,Action-Adventure-Science Fiction,X
592,602,525,Summer Palace,Lou Ye,2006,China-France,140,Col,Drama-Romance,
593,495,593,"Village, The [2004]","Shyamalan, M. Night",2004,USA,108,Col,Mystery-Horror-Thriller,X
594,505,673,Sweet Sixteen,"Loach, Ken",2002,UK,106,Col,Drama,
595,732,846,Frozen [2013],"Buck, Chris & Jennifer Lee",2013,USA,102,Col,Animated-Adventure-Comedy,X
596,785,---,"Other Side of the Wind, The","Welles, Orson",2018,France-Iran-USA,122,Col-BW,Drama,X
597,487,698,"Kiss Kiss, Bang Bang","Black, Shane",2005,USA,103,Col,Action-Comedy-Crime,
598,461,412,King Kong [2005],"Jackson, Peter",2005,USA-Germany-New Zealand,187,Col,Action-Adventure-Fantasy,
599,615,599,War of the Worlds,"Spielberg, Steven",2005,USA,116,Col,Science Fiction-Action-Adventure,X
600,493,553,DiG!,"Timoner, Ondi",2004,USA,115,Col,Documentary,
601,570,539,Innocence [2004],"Hadzihalilovic, Lucile",2004,France-UK-Belgium,115,Col,Mystery-Drama,
602,623,707,Locke,"Knight, Steven",2013,UK-USA,85,Col,Drama,X
603,686,789,"Girl Walks Home Alone at Night, A","Amirpour, Ana Lily",2014,USA,101,BW,Horror-Romance-Thriller,X
604,908,---,Annihilation,"Garland, Alex",2018,USA-UK,115,Col,Adventure-Drama-Horror,X
605,504,451,Chicago,"Marshall, Rob",2002,USA-Germany,113,Col,Musical-Crime-Comedy,
606,---,---,Little Women,"Gerwig, Greta",2019,USA,135,Col,Drama-Romance,X
607,671,619,Monster,"Jenkins, Patty",2003,USA-Germany,109,Col,Drama-Crime,
608,548,665,Jackie,"Larraín, Pablo",2016,Chile-France-USA-Hong Kong,100,Col-BW,Biography-Drama,
609,---,---,Ash is Purest White,Jia Zhangke,2018,China-France-Japan,136,Col,Drama-Romance-Crime,
610,526,494,Shortbus,"Mitchell, John Cameron",2006,USA,101,Col,Drama-Adult,
611,540,471,Harry Potter and the Prisoner of Azkaban,"Cuarón, Alfonso",2004,UK-USA,142,Col,Adventure-Family-Fantasy,X
612,614,576,Twentynine Palms,"Dumont, Bruno",2003,France-Germany-USA,119,Col,Horror-Drama,
613,---,---,Homeland (Iraq Year Zero),"Fahdel, Abbas",2015,Iraq-France,334,Col,Documentary,
614,670,685,"Tale of the Princess Kaguya, The","Takahata, Isao",2013,Japan,137,Col,Animated-Drama-Fantasy,
615,582,674,My Mother's Smile,"Bellocchio, Marco",2002,Italy,103,Col,Drama,
616,514,438,Metallica: Some Kind of Monster,"Berlinger, Joe & Bruce Sinofsky",2004,USA,141,Col-BW,Documentary-Music,
617,528,646,Miami Vice,"Mann, Michael",2006,USA-Germany-Paraguay-Uruguay,133,Col,Action-Crime-Drama,
618,547,524,Michael Clayton,"Gilroy, Tony",2007,USA,119,Col,Drama-Thriller,
619,624,545,Wuthering Heights [2011],"Arnold, Andrea",2011,UK,129,Col,Drama-Romance,
620,747,675,Story of My Death,"Serra, Albert",2013,Spain-France,148,Col,Drama,
621,563,522,In This World,"Winterbottom, Michael",2002,UK,88,Col-BW,Drama,
622,506,534,"Fighter, The","Russell, David O.",2010,USA,116,Col,Biography-Drama-Sport,X
623,600,544,Whisky,"Rebella, Juan Pablo & Pablo Stoll",2004,Uruguay-Argentina-Germany-Spain-France-USA-Japan,98,Col,Comedy,
624,503,439,Sweeney Todd: The Demon Barber of Fleet Street,"Burton, Tim",2007,USA-UK,116,Col,Crime-Musical-Thriller,X
625,531,396,Big Fish,"Burton, Tim",2003,USA,125,Col,Fantasy-Drama,X
626,619,531,Room,"Abrahamson, Lenny",2015,Ireland-Canada,118,Col,Drama,X
627,537,475,Bloody Sunday,"Greengrass, Paul",2001,UK-Ireland,110,Col,History-Drama,
628,622,609,Lady Chatterley,"Ferran, Pascale",2006,France-Belgium,168,Col,Drama-Romance,
629,576,567,"Wire, The [TV]",Various Directors,2002,USA,3600,Col,Crime-Drama-Mystery,X
630,553,462,Departures,"Takita, Yojiro",2008,Japan,130,Col,Drama,
631,767,822,Magic Mike XXL,"Jacobs, Gregory",2015,USA,115,Col,Comedy-Drama-Music,
632,565,507,Petition,Zhao Liang,2009,China-Switzerland-UK-France-Belgium-Finland,120,Col,Documentary,
633,748,832,Four Lions,"Morris, Chris",2010,UK-France,101,Col,Comedy,
634,533,459,Hotel Rwanda,"George, Terry",2004,UK-USA-South Africa-Italy,121,Col,War-Drama,
635,---,---,"Elephant Sitting Still, An",Hu Bo,2018,China,230,Col,Drama,
636,797,944,Bernie,"Linklater, Richard",2011,USA,104,Col,Comedy-Crime-Drama,X
637,520,491,Sin City,"Rodriguez, Robert & Frank Miller",2005,USA,124,Col-BW,Action-Crime-Thriller,
638,---,---,Midsommar,"Aster, Ari",2019,USA-Sweden,147,Col,Drama-Horror-Mystery,X
639,521,474,Syriana,"Gaghan, Stephen",2005,USA,128,Col,Thriller-Drama,
640,639,605,Museum Hours,"Cohen, Jem",2012,Austria-USA,107,Col,Drama,
641,471,428,Up in the Air,"Reitman, Jason",2009,USA,109,Col,Comedy-Drama-Romance,X
642,768,---,"Death of Stalin, The","Iannucci, Armando",2017,UK-France-Belgium-Canada,107,Col,Comedy-Drama-History,
643,415,385,American Hustle,"Russell, David O.",2013,USA,138,Col,Crime-Drama,X
644,484,371,Argo,"Affleck, Ben",2012,USA,120,Col,Drama-History-Thriller,X
645,778,727,Things to Come [2016],"Hansen-Løve, Mia",2016,France-Germany,102,Col,Drama,
646,610,580,This is England,"Meadows, Shane",2006,UK,103,Col,Drama,
647,647,677,Touching the Void,"Macdonald, Kevin",2003,UK-USA,106,Col,Documentary-Drama-Sport,
648,522,457,"Edge of Heaven, The","Akin, Fatih",2007,Germany-Turkey-Italy,121,Col,Drama,
649,559,538,Berberian Sound Studio,"Strickland, Peter",2012,UK,92,Col,Drama-Horror-Thriller,
650,---,---,In Jackson Heights,"Wiseman, Frederick",2015,USA-France,190,Col,Documentary,
651,542,503,Before the Devil Knows You're Dead,"Lumet, Sidney",2007,UK-USA,117,Col,Crime-Drama-Thriller,
652,932,---,"Day He Arrives, The",Hong Sang-soo,2011,South Korea,79,BW,Drama,
653,---,---,Us,"Peele, Jordan",2019,USA-Japan,116,Col,Horror-Thriller,X
654,---,---,Madeline's Madeline,"Decker, Josephine",2018,USA,93,Col,Drama-Mystery,
655,896,---,Love & Basketball,"Prince-Bythewood, Gina",2000,USA,124,Col,Drama-Romance-Sport,
656,663,668,"Lady & the Duke, The","Rohmer, Eric",2001,France-Germany,128,Col,Drama,
657,566,513,Encounters at the End of the World,"Herzog, Werner",2007,USA-Canada,99,Col,Documentary,
658,---,---,Knives Out,"Johnson, Rian",2019,USA,130,Col,Comedy-Crime-Drama,X
659,705,737,Sympathy for Mr. Vengeance,Park Chan-wook,2002,South Korea,129,Col,Thriller-Drama-Crime,
660,756,863,Wadjda,"Al-Mansour, Haifaa",2012,Saudi Arabia-Netherlands-Germany-Jordan-United Arab Emirates-USA,98,Col,Drama,
661,519,521,Midnight in Paris,"Allen, Woody",2011,Spain-USA,94,Col,Comedy-Fantasy-Romance,X
662,555,549,I Heart Huckabees,"Russell, David O.",2004,Germany-USA-UK,106,Col,Comedy,
663,860,977,"Cabin in the Woods, The","Goddard, Drew",2011,USA,95,Col,Horror-Mystery-Thriller,X
664,512,395,Kinsey,"Condon, Bill",2004,USA-Germany,118,Col,Drama-Biography,
665,890,851,Blackboards,"Makhmalbaf, Samira",2000,Iran-Italy-Japan,85,Col,Drama-War,
666,580,526,Iraq in Fragments,"Longley, James",2006,USA,94,Col,Documentary,
667,875,---,John Wick,"Stahelski, Chad",2014,USA-Canada-China,101,Col,Action-Thriller,
668,684,736,Ghost in the Shell 2: Innocence,"Oshii, Mamoru",2004,UK-USA,99,Col,Action-Animated-Drama,
669,613,649,Road to Nowhere,"Hellman, Monte",2010,USA,121,Col,Romance-Thriller,
670,887,715,"Death of Louis XIV, The","Serra, Albert",2016,Portugal-France-Spain,115,Col,Biography-Drama-History,
671,658,724,"Good Morning, Night","Bellocchio, Marco",2003,Italy,106,Col,Drama,
672,587,596,"Prestige, The","Nolan, Christopher",2006,USA-UK,130,Col,Drama-Science Fiction-Thriller,X
673,693,635,Aurora,"Puiu, Cristi",2010,Romania-France-Switzerland-Germany,181,Col,Drama,
674,640,689,Samson and Delilah [2009],"Thornton, Warwick",2009,Australia,101,Col,Drama,
675,550,771,"Grandmaster, The",Wong Kar-wai,2013,Hong Kong-China,130,Col,Action-Biography-Drama,
676,589,701,"Like Father, Like Son","Koreeda, Hirokazu",2013,Japan,121,Col,Drama,
677,527,486,All About Lily Chou-Chou,"Iwai, Shunji",2001,Japan,146,Col,Crime-Drama-Music,
678,585,530,Import Export,"Seidl, Ulrich",2007,Austria-France-Germany,141,Col,Drama,
679,630,564,Terror's Advocate,"Schroeder, Barbet",2007,France,137,Col,Documentary-Biography-History,
680,617,633,Serras da desordem,"Tonacci, Andrea",2006,Brazil,135,Col,Documentary,
681,782,931,Fruitvale Station,"Coogler, Ryan",2013,USA,85,Col,Biography-Drama,X
682,535,482,Melancholia [2008],"Diaz, Lav",2008,Philippines,450,BW,Drama,
683,618,588,Mysterious Object at Noon,"Weerasethakul, Apichatpong",2000,Thailand-Netherlands,83,BW,Drama-Mystery,
684,707,651,"Saddest Music in the World, The","Maddin, Guy",2003,Canada,100,Col-BW,Drama-Fantasy-Musical,
685,741,547,"I, Daniel Blake","Loach, Ken",2016,UK-France-Belgium,100,Col,Drama,
686,888,906,Evolution,"Hadzihalilovic, Lucile",2015,France-Belgium-Spain,81,Col,Drama-Horror-Mystery,
687,608,643,Lantana,"Lawrence, Ray",2001,Germany-Australia,121,Col,Thriller-Drama,
688,560,592,Chopper,"Dominik, Andrew",2000,Australia,94,Col,Drama,
689,592,562,(500) Days of Summer,"Webb, Marc",2009,USA,95,Col-BW,Comedy-Drama-Romance,
690,687,656,Monsters,"Edwards, Gareth",2010,UK,94,Col,Drama-Science Fiction-Thriller,
691,763,681,"Pigeon Sat on a Branch Reflecting on Existence, A","Andersson, Roy",2014,Sweden-Germany-Norway-France,101,Col,Comedy-Drama,
692,488,425,All is Lost,"Chandor, J.C.",2013,USA,106,Col,Adventure-Drama,
693,611,577,"Scanner Darkly, A","Linklater, Richard",2006,USA,100,Col,Animated-Mystery-Science Fiction,
694,939,---,Minding the Gap,Bing Liu,2018,USA,93,Col,Documentary,
695,749,---,"Other Side of Hope, The","Kaurismäki, Aki",2017,Finland-Germany,100,Col,Comedy-Drama,
696,578,560,S21: The Khmer Rouge Killing Machine,"Panh, Rithy",2003,Cambodia-France,101,Col,Documentary-History,
697,---,---,Heaven Knows What,"Safdie, Benny & Josh Safdie",2014,USA,94,Col,Drama,
698,567,519,We Are the Best!,"Moodysson, Lukas",2013,Sweden-Denmark,102,Col,Drama-Music,
699,603,568,"Secret of the Grain, The","Kechiche, Abdellatif",2007,France,151,Col,Drama,
700,---,---,What We Do in the Shadows,"Clement, Jemaine & Taika Waititi",2014,New Zealand-USA,86,Col-BW,Comedy-Horror,X
701,---,---,Oh! Man,"Gianikian, Yervant & Angela Ricci Lucchi",2004,Italy,71,BW,Documentary-War,
702,645,575,No Man's Land,"Tanovic, Danis",2001,France-Italy-Belgium-UK-Slovenia-Switzerland,97,Col,War-Drama,
703,604,558,Trilogy: The Weeping Meadow,"Angelopoulos, Theo",2004,Greece-France-Italy-Germany,170,Col,Romance-Drama,
704,697,830,Loveless,"Zvyagintsev, Andrey",2017,Russia-France-Germany-Belgium-USA,127,Col,Drama,
705,561,536,Bad Santa,"Zwigoff, Terry",2003,USA-Germany,91,Col,Crime-Comedy,X
706,669,594,"Romance of Astrea and Celadon, The","Rohmer, Eric",2007,France-Italy-Spain,109,Col,Drama-Romance,
707,681,896,Edge of Tomorrow,"Liman, Doug",2014,USA-Canada,113,Col,Action-Science Fiction,X
708,596,543,Amy [2015],"Kapadia, Asif",2015,UK-USA,128,Col-BW,Documentary-Biography-Music,
709,676,687,Looper,"Johnson, Rian",2012,USA-China,119,Col,Action-Science Fiction-Thriller,
710,845,745,"Savages, The","Jenkins, Tamara",2007,USA,114,Col,Comedy-Drama,
711,620,650,"World's End, The","Wright, Edgar",2013,UK,109,Col,Action-Comedy-Science Fiction,X
712,973,867,"Revenant, The [2015]","González Iñárritu, Alejandro",2015,USA-Hong Kong-Taiwan-Canada,156,Col,Adventure-Drama-Thriller,X
713,634,630,Origins of the 21st Century,"Godard, Jean-Luc",2000,France,13,Col,Short-Documentary,
714,591,554,Love & Friendship,"Stillman, Whit",2016,Ireland-Netherlands-France-USA-UK,92,Col,Comedy-Drama-Romance,
715,629,625,"Single Man, A","Ford, Tom",2009,USA,101,Col,Drama-Romance,
716,668,821,"Tale of Two Sisters, A",Kim Jee-woon,2003,South Korea,114,Col,Drama-Horror-Mystery,
717,574,518,Into the Wild,"Penn, Sean",2007,USA,148,Col,Adventure-Biography-Drama,
718,544,552,"Proposition, The","Hillcoat, John",2005,UK-Australia,104,Col,Drama-Crime-Western,
719,975,973,Cargo 200,"Balabanov, Aleksei",2007,Russia,89,Col,Drama-Thriller,
720,626,623,Exiled,"To, Johnnie",2006,Hong Kong,109,Col,Crime-Thriller,
721,635,565,Nocturama,"Bonello, Bertrand",2016,France-Germany-Belgium,130,Col,Thriller-Drama,
722,956,811,Heart of a Dog,"Anderson, Laurie",2015,USA-France,75,Col-BW,Documentary,
723,716,803,Sing Street,"Carney, John",2016,Ireland-UK-USA,106,Col,Comedy-Drama-Music,
724,735,660,Keane,"Kerrigan, Lodge",2004,USA,100,Col,Drama,
725,665,628,Bad Lieutenant: Port of Call - New Orleans,"Herzog, Werner",2009,USA,122,Col,Crime-Drama,
726,564,512,Chunhyang,Im Kwon-taek,2000,South Korea,120,Col,Romance-Drama-Musical,
727,737,712,"Corporation, The","Abbott, Jennifer & Mark Achbar",2003,Canada,145,Col,Documentary,
728,718,647,Broken Flowers,"Jarmusch, Jim",2005,USA-France,106,Col,Drama-Comedy,X
729,667,711,Rango,"Verbinski, Gore",2011,USA,107,Col,Animated-Adventure-Comedy,X
730,632,617,"Diary of a Teenage Girl, The","Heller, Marielle",2015,USA,102,Col,Drama-Romance,
731,708,608,Searching for Sugar Man,"Bendjelloul, Malik",2012,Sweden-UK,86,Col,Documentary-Biography-Musical,X
732,677,584,No,"Larraín, Pablo",2012,Chile-France-Mexico-USA,118,Col-BW,Drama,
733,---,---,Mission: Impossible - Ghost Protocol,"Bird, Brad",2011,USA-United Arab Emirates,133,Col,Action-Adventure-Thriller,
734,---,---,Aquarius,"Filho, Kleber Mendonça",2016,Brazil-France,146,Col,Drama,
735,579,527,"Mouth of the Wolf, The","Marcello, Pietro",2009,Italy-France,76,Col-BW,Biography-Drama-Romance,
736,958,---,"Love Witch, The","Biller, Anna",2016,USA,120,Col,Comedy-Horror,
737,772,775,Idiocracy,"Judge, Mike",2006,USA,84,Col,Adventure-Comedy-Science Fiction,X
738,927,774,"Hateful Eight, The","Tarantino, Quentin",2015,USA,187,Col,Western-Drama-Mystery,X
739,699,688,"Martian, The","Scott, Ridley",2015,USA-UK,144,Col,Adventure-Drama-Science Fiction,X
740,621,600,Ballast,"Hammer, Lance",2008,USA,96,Col,Drama,
741,765,819,How to Train Your Dragon,"DeBlois, Dean & Chris Sanders",2010,USA,98,Col,Animated-Adventure-Comedy,X
742,721,690,12:08 East of Bucharest,"Porumboiu, Corneliu",2006,Romania-France,89,Col,Comedy-Drama,
743,---,---,Somewhere,"Coppola, Sofia",2010,USA-UK-Italy-Japan,98,Col,Drama,
744,583,---,"Star is Born, A","Cooper, Bradley",2018,USA,136,Col,Drama-Music-Romance,X
745,751,717,Wolf Creek,"McLean, Greg",2005,Australia,99,Col,Horror-Thriller,
